name,address,website,tel
Baba Turkish Kebab,"High St North, London, E6 2HT",/customerneeds/sendenquiry/sendtoone/100040757416000020?searchedLocation=London,0208 552 5198
Lissome,"488 Kingsland Rd, London, E8 4AE",/customerneeds/sendenquiry/sendtoone/100040768000000020?searchedLocation=London,07947 719817
Caffe A-Roma,"We serve London|Twickenham,TW1",/customerneeds/sendenquiry/sendtoone/100040513810000020?searchedLocation=London,020 3953 6849
Hayling Way Pizza Kitchen & Deli,"We serve London|Edgware,HA8",/customerneeds/sendenquiry/sendtoone/100040769495000020?searchedLocation=London,020 3105 5423
Pizza Express,"450 Strand, London, WC2R 0RG",https://www.pizzaexpress.com/the-strand-trafalgar-square?utm_source=listings&utm_medium=Places&utm_campaign=the-strand-trafalgar-square,020 7930 8205
Pizza Express,"26 Panton House Haymarket, London, SW1Y 4EN",https://www.pizzaexpress.com/piccadilly?utm_source=listings&utm_medium=Places&utm_campaign=piccadilly,020 7930 8044
Piazza Restaurant,"35 Cranbourn St, London, WC2H 7AD",http://www.piazza-restaurant.co.uk,020 7379 6867
Spaghetti House,"66 Haymarket, London, SW1Y 4RF",http://www.spaghettihouse.co.uk,020 7839 3641
Bella Italia - London Cranbourn Street,"1 Cranbourn St, London, WC2H 7AJ",http://www.bellaitalia.co.uk,020 7734 1246
Pizza Hut,"56-59 Strand, London, WC2N 5LR",http://www.pizzahut.co.uk,020 7925 0050
Mod Pizza UK Ltd,"17 Irving St, London, WC2H 7AT",http://www.modpizza.co.uk,020 7839 2714
Pizza Express,"80-81 St. Martins Lane, London, WC2N 4AA",https://www.pizzaexpress.com/st-martins-lane?utm_source=listings&utm_medium=Places&utm_campaign=st-martins-lane,020 7836 8001
Pepe,"57 St Martin's Lane, Charing Cross, LONDON, WC2N 4EA",http://www.pepe-food.com,020 7379 7299
Bella Italia,"65 Strand, London, WC2N 5LR",http://www.bellaitalia.co.uk,020 7839 3705
Pizza Pilgrims,"23 Garrick St, London, WC2E 9BN",http://www.pizzapilgrims.co.uk,020 7240 4145
Domino's,"166 High Holborn, London, WC1V 6PB",https://www.dominos.co.uk/?utm_source=extended_network&utm_medium=yext&y_source=1_MTIxMzcxMDUtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7240 5060
Pizza Hut,"19 Leicester Square, London, WC2H 7LE",http://www.pizzahut.co.uk,020 7930 9114
Pizza Express,"43 Charing Cross Rd, London, WC2H 0AP",https://www.pizzaexpress.com/leicester-square-charing-cross-road?utm_source=listings&utm_medium=Places&utm_campaign=leicester-square-charing-cross-road,020 7287 3322
Fire & Stone,"31-32 Maiden Lane, London, WC2E 7JS",http://www.fireandstone.com,020 7395 1960
Bella Italia,"22 Leicester Square, London, WC2H 7LE",http://www.bellaitalia.co.uk,020 7321 0016
Zizzi,"73 The Strand, London, WC2R 0DE",https://www.zizzi.co.uk/,020 3302 2734
Caffe Concerto,"50 Shaftesbury Avenue, London, W1D 6LW",http://www.caffeconcerto.co.uk,020 7494 6853
POLPO Covent Garden,"6 Maiden Lane, London, WC2E 7NA",http://www.polpo.co.uk,020 7836 8448
Bella Italia - London St Martins Lane,"70 St. Martins Lane, London, WC2N 4JS",http://www.bellaitalia.co.uk,020 7836 0484
Pizza Express,"29 Wardour St, London, W1D 6PS",https://www.pizzaexpress.com/wardour-street?utm_source=listings&utm_medium=Places&utm_campaign=wardour-street,020 7437 7215
Il Cucciolo Restaurant,"12 Denman St, London, W1D 7HH",http://www.ilcucciolorestaurant.co.uk,020 7437 0302
Rossopomodoro,"50-52 Monmouth St, London, WC2H 9EP",http://www.rossopomodoro.co.uk,020 7240 9095
Pizza Hut,"29-31 Regent St, London, SW1Y 4NQ",http://www.pizzahut.co.uk/restaurants/,020 7287 8560
Pizza Express,"9-12 Bow St, London, WC2E 7AH",https://www.pizzaexpress.com/bow-street?utm_source=listings&utm_medium=Places&utm_campaign=bow-street,020 7240 3443
Pizza Toscana,"45 Wardour Street, Chinatown, LONDON, W1D 6PZ",,020 3437 6523
Bella Italia - London Wellington Street,"28 Tavistock St, London, WC2E 7PS",http://www.bellaitalia.co.uk,020 7240 9740
Pizza Express,"20 Greek Street Soho London, London, W1D 4DU",https://www.pizzaexpress.com/greek-street?utm_source=listings&utm_medium=Places&utm_campaign=greek-street,020 7734 7430
Pizza Express,"147 Strand, London, WC2R 1JA",https://www.pizzaexpress.com/aldwych?utm_source=listings&utm_medium=Places&utm_campaign=aldwych,020 7836 7716
